item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Our Board of Directors,,,,,,,,,,,,,,,
Our country management committee,,,,,,,,,,,,,,,
2021,2021,,,,,,,,,,,,,,
25 257,25 257,,,,,,,,,,,,,,
11 043,11 043,,,,,,,,,,,,,,
36 300,36 300,,,,,,,,,,,,,,
(16 664),(16 664),,,,,,,,,,,,,,
19 636,19 636,,,,,,,,,,,,,,
(4 087),(4 087),,,,,,,,,,,,,,
15 549,15 549,,,,,,,,,,,,,,
(4 679),(4 679),,,,,,,,,,,,,,
10 870,10 870,,,,,,,,,,,,,,
None,,None,2021,,,,,,,,,,,,
Total assets,,271 572 325 313 374 904 379 441,428 722,,,,,,,,,,,,
Net loans and advances to customers,,168 397 177 354 194 895 208 855,234 234,,,,,,,,,,,,
Liabilities,,227 474 281 107 329 715 332 936 185 977 207 408 237 739 253 630 44 098 44 207 45 189 46 505 271 572 325 313 374 904 379 441,372 274,,,,,,,,,,,,
Deposits due to customers,,None,268 717,,,,,,,,,,,,
Total equity,,None,56 448,,,,,,,,,,,,
Total equity and liabilities,,None,428 722,,,,,,,,,,,,
Net advances to deposits (%),,91 86 82 82,87,,,,,,,,,,,,
Insurance Our customers were faced with a marked increase in fire insurance premiums due to regulatory changes in 2021. We responded by providing premium financing to cushion them from cash flow constraints.,,Our customers were faced with a marked increase in fire insurance premiums due to regulatory changes in 2021. We responded by providing premium financing to cushion them from cash flow constraints.,,,,,,,,,,,,,
Excise duty Enactment of 20% excise duty in the year impacted on the cost of finance affecting customer loans.,,Enactment of 20% excise duty in the year impacted on the cost of finance affecting customer loans.,,,,,,,,,,,,,
"High risk sectors We paid special attention to sectors that are severely impacted by COVID-19 particularly the hospitality and tourism industries, maintaining conciliatory facilities to match their sector conditions. This approach has helped us to gain increased insight into our customer needs.",,"We paid special attention to sectors that are severely impacted by COVID-19 particularly the hospitality and tourism industries, maintaining conciliatory facilities to match their sector conditions. This approach has helped us to gain increased insight into our customer needs.",,,,,,,,,,,,,
"Ecosystem banking As we gain greater insights, we are better positioned to provide meaningful support to individual businesses and increasingly to entire value chains through our ecosystem financing proposition ensuring that supply chains are financially empowered to operate efficiently.",,"As we gain greater insights, we are better positioned to provide meaningful support to individual businesses and increasingly to entire value chains through our ecosystem financing proposition ensuring that supply chains are financially empowered to operate efficiently.",,,,,,,,,,,,,
"Risk based lending Future regulatory shifts anticipated include the move to the use of risk-based lending. When this regulation is enacted, it will allow us to price for risk benefiting all categories of customers despite their risk profiles. For high-risk customers, it will enable them to access financing which is currently limited, further benefiting less risky clients by allowing us to reduce charges to them.",,"Future regulatory shifts anticipated include the move to the use of risk-based lending. When this regulation is enacted, it will allow us to price for risk benefiting all categories of customers despite their risk profiles. For high-risk customers, it will enable them to access financing which is currently limited, further benefiting less risky clients by allowing us to reduce charges to them.",,,,,,,,,,,,,
Shs 1.6m,Shs 1.6m,,,,,,,,,,,,,,
Shs 23m,Shs 23m,,,,,,,,,,,,,,
Shs 3.45m,Shs 3.45m,,,,,,,,,,,,,,
Shs 3.95m,Shs 3.95m,,,,,,,,,,,,,,
Shs 2.1m,Shs 2.1m,,,,,,,,,,,,,,
Shs 4m,Shs 4m,,,,,,,,,,,,,,
Shs 60m (since inception in 2015),Shs 60m (since inception in 2015),,,,,,,,,,,,,,
>Shs 100m,>Shs 100m,,,,,,,,,,,,,,
Shs 3m annually,Shs 3m annually,,,,,,,,,,,,,,
Shs 8.82m,Shs 8.82m,,,,,,,,,,,,,,
Shs 213 000,Shs 213 000,,,,,,,,,,,,,,
Emotional ntelligence Skills 1 951 - 98% of all employees,Emotional ntelligence Skills,1 951 - 98% of all employees,,,,,,,,,,,,,
Art of Execution 1 912 Employees – 96% of all employees,Art of Execution,1 912 Employees – 96% of all employees,,,,,,,,,,,,,
Data Protection 1 955 employees( 99% open to all Employees),Data Protection,1 955 employees( 99% open to all Employees),,,,,,,,,,,,,
Fraud 1 962 employees ( 99% Open to all employees),Fraud,1 962 employees ( 99% Open to all employees),,,,,,,,,,,,,
Absa Leadership Academy Programs 49 employees at management level,Absa Leadership Academy Programs,49 employees at management level,,,,,,,,,,,,,
Masterclasses 622 employees attended 2 976 sessions,Masterclasses,622 employees attended 2 976 sessions,,,,,,,,,,,,,
Sales Reskilling 25 employees –(Open Program for Non Sales Employees),Sales Reskilling,25 employees –(Open Program for Non Sales Employees),,,,,,,,,,,,,
5 Thought Leadership 200 People Managers attended each session,5 Thought Leadership,200 People Managers attended each session,,,,,,,,,,,,,
14 People Managers 212 People Managers attended each session,14 People Managers,212 People Managers attended each session,,,,,,,,,,,,,
5 Soul Food Open to all employees,5 Soul Food,Open to all employees,,,,,,,,,,,,,
"Moodys Credit Certification 66 employees in Credit, Corporate and Business Banking",Moodys Credit Certification,"66 employees in Credit, Corporate and Business Banking",,,,,,,,,,,,,
LinkedIn Learning 324 employees,,324 employees,,,,,,,,,,,,,
Absa Digital Platform 712 employer,,712 employer,,,,,,,,,,,,,
Udemy 1 070 Colleagues,,1 070 Colleagues,,,,,,,,,,,,,
osh Bersin Available for all People Function Colleagues,,Available for all People Function Colleagues,,,,,,,,,,,,,
Get Abstract 58 Colleagues,,58 Colleagues,,,,,,,,,,,,,
None None None None,,,,,,,,,,,,,,,
None None,,,,,,,,,,,,,,,
None None None None None None None,,,,,,,,,,,,,,,
Net interest income,,4 835,,,,,,,,,,,,,
Non-interest income,,5 190,,,,,,,,,,,,,
Impairment,,121,,,,,,,,,,,,,
Customer loans (Net),,95 622,,,,,,,,,,,,,
Customer deposits,,51 887,,,,,,,,,,,,,
Customer S Experience R trong elationships,,,,,,,,,,,,,,,
inancial capital � Investment in new cloud-based platforms. Operational improvements � Enhanced efficiencies. � Reduced costs of banking. � Increased customer numbers. � Increased lending. � Increased deposits. � Enhanced employee wellbeing. � Enhancement of online applications providing more functionality. � Able to better track costs driving further efficiencies and cost reduction initiatives. � Faster execution of transactions. � Improved customer interface. � Enhanced responsible business practices. Improved customer experience � Making it easier to reach the Bank. � Customers becoming ambassadors for the brand. � Enhanced cashflow management for corporate customers’ supply chains. � Support to indirect job creation and economic growth through support to corporate customers’ supply chains. � Increased access to banking solutions. � Wealth generation. � Wealth protection. � Enhanced levels of financial literacy.,,� Investment in new cloud-based platforms.,,,,,,,,,,,,,
uman capital � Training provided to employees. � Capacitation of employees to continue to work remotely. � Provided digital online solutions to making working from home seamless. None None,,� Training provided to employees. � Capacitation of employees to continue to work remotely. � Provided digital online solutions to making working from home seamless.,,,,,,,,,,,,,
"tellectual and anufactured apital � Successful transition of core banking platform to cloud-based solution. � Strengthening of systems, and enhanced levels of access and reliability. None None",,"� Successful transition of core banking platform to cloud-based solution. � Strengthening of systems, and enhanced levels of access and reliability.",,,,,,,,,,,,,
ocial capital � Ongoing engaged with the customer base � Enhanced KYC credentials to protect the customer and banking system. � Capacitation of the customer base on new fraud risk. � Enhanced data protection protocols to protect the customer. None None,,� Ongoing engaged with the customer base � Enhanced KYC credentials to protect the customer and banking system. � Capacitation of the customer base on new fraud risk. � Enhanced data protection protocols to protect the customer.,,,,,,,,,,,,,
t interest income,,20 422,,,,,,,,,,,,,
n-interest income,,5 853,,,,,,,,,,,,,
pairment,,(4 208),,,,,,,,,,,,,
stomer loans,,138 612,,,,,,,,,,,,,
stomer deposits,,216 830,,,,,,,,,,,,,
