Column,"Within 12
months",After 12 months,Total
As at 31 December 2024,Shs’million,Shs'million,Shs'million
,24 416,-,24 416
,8 069,-,8 069
,33 470,-,33 470
,2 010,-,2 010
,63 043,33 025,96 068
,-,1 049,1 049
,7 289,-,7 289
,149 781,159 317,309 098
,12 420,-,12 420
,814,-,814
,-,47,47
,-,2 884,2 884
,-,1 209,1 209
,-,30,30
,-,7 603,7 603
,301 312,205 164,506 476
,7 045,-,7 045
,1 232,421,1 653
,6 054,-,6 054
,364 761,2 354,367 115
,-,19 730,19 730
,19 586,-,19 586
,88,-,88
,398 766,22 505,421 271
,(97 454),182 659,85 205
