Column,Column,DG1-9,DG 10-19,DG 20-21,DG1-9,DG 10-19,DG 20-21,DG 20 – 22
2025,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,10 570,9 293,1 277,-,-,-,-,-
,42 513,42 513,-,-,-,-,-,-
,1 052,1 052,-,-,-,-,-,-
,109 042,103 634,5 408,-,-,-,-,-
,8 235,6 115,2 120,-,-,-,-,-
,5 630,5 630,-,-,-,-,-,-
,17 803,1 444,16 359,-,-,-,-,-
,8 844,8 806,38,-,-,-,-,-
,339 540,198 925,83 156,332,-,26 191,719,30 217
,543 229,377 412,108 358,332,-,26 191,719,30 217
,(27 374),(26),(3 727),(1 215),-,(551),(1 956),(19 899)
,515 855,377 386,104 631,( 883),-,25 640,(1 237),10 318
,152 464,64 563,69 284,20,-,18 198,234,165
