item,0,2,1
"21,041 (2,896)","21,041 (2,896)",,
"18,145","18,145",,
"7,226 (650)","7,226 (650)",,
"6,576","6,576",,
"2,673 - 30","2,673 - 30",,
"27,424 (144)","27,424 (144)",,
"27,280 (7,814) (5,255) (626) (565)","27,280 (7,814) (5,255) (626) (565)",,
"(14,260)","(14,260)",,
"13,020 (4,279)","13,020 (4,279)",,
"8,741","8,741",,
1.61,1.61,,
"8,741 3,036 (910) 416","8,741 3,036 (910) 416",,
"2,542","2,542",,
"11,283","11,283",,
Standard Title Applicable for financial year beginning on/after,Standard,Applicable for financial year beginning on/after,
IAS 1 Presentation of financial statements. 1 July 2012,IAS 1,1 July 2012,
IFRS 13 Fair value measurement. 1 January 2013,IFRS 13,1 January 2013,
IFRS 9 Financial instruments 1 January 2015,IFRS 9,1 January 2015,
IFRS 10 Consolidated financial statements 1 January 2013,IFRS 10,1 January 2013,
Carrying amount,,None,Group and Bank
None,,2011 Shs million,2012 Shs million
Nature of assets Commercial and industrial property,,"3,775","4,379"
Level1 Level2 Level3 Total Shs Shs Shs Shs 31 December 2012 million million million million,,,None
"3,573 (2,454)","3,573 (2,454)",,
"1,119","1,119",,
315,315,,
16 4 - - 5 61 14,16 4 - - 5 61 14,,
100,100,,
275 - -,275 - -,,
275,275,,
868 (910) (181),868 (910) (181),,
(223),(223),,
As restated Cr/(Dr) to Cr/(Dr) to other 1.1.12 income comprehensive 31.12.12 statement income Shs Shs Shs Shs million million million million,,,None
Group and Bank Freehold Leasehold Fixtures Motor land and land and fittings and vehicles buildings buildings equipment WIP Total Shs Shs Shs Shs Shs Shs million million million million million million,,,None
"3,547 519","3,547 519",,
"4,066","4,066",,
37,37,,
"1,985 -","1,985 -",,
"1,985","1,985",,
104,104,,
90 28 (5),90 28 (5),,
113,113,,
328,328,,
16 104 18,16 104 18,,
