Category (as defined by IAS 39),Column,Class (as determined by the Group),Column,Subclasses
Financial assets,"Financial assets at
fair value through
profit or loss.","Financial assets
held for trading for
trading",Debt securities,
,,"Financial assets
designated at fair
value through profit
or loss",Equity securities,
,"Loans and
receivables",Loans and advances to banks,,
,,"Loans and advances
to customers","Loans to
individuals (retail)",Overdrafts
,,,,Credit cards
,,,,Term loans
,,,,Mortgages
,,,"Loans to corporate
entities","Large corporate
customers"
,,,,SMEs
,,,,Others
,,Items in the course of collection,,
,"Available-for-sale
financial assets",Investment securities - debt securities,,Listed
,"Financial
liabilities at
armortised cost",Deposits from banks,,
,,"Deposits from
customers",Retail customers,
,,,"Large corporate
customers",
,,,SMEs,
,,Items in the course of collection,,
"Off- balance
sheet financial
Instruments",Loan commitments,,,
,"Guarantees, acceptances and other financial facilities",,,
