item,2,3,1
At 31 December Notes,2014 Shs million,2013 Shs million,
Net cash flows from operating activities Cash flows from investing activities Purchase of property and equipment Purchase of intangibles Net cash used in investing activities Cash flows from financing activities Dividends paid Repayment of borrowings Net cash used in financing activities Net increase/(decrease) in cash and cash equivalents Cash and cash equivalents at start of year Cash and cash equivalents at end of year 35(a) 20 21 35(b) 35(b),"9,333 ______________ (683) (80) ______________ (763) ______________ (2,716) (992) ______________ (3,708) ______________ 4,862 1,679 ______________ 6,541","3,814 ______________ (656) (17) ______________ (673) ______________ (4,888) (1,390) ______________ (6,278) ______________ (3,137) 4,816 ______________ 1,679",
,2013 Shs million,,2014 Shs million
Profit before taxation Adjustment for non cash items: Depreciation (Note 10) Amortisation of intangibles assets (Note 10) Credit impairment charge (Note 18) Fair value gain on financial assets designated at FVTP&L Other non cash items Changes in operating assets and liabilities Loans and advances to customers Available for sale securities maturing after 90 days Balances with Central Bank of Kenya Financial assets at FVTPL Other assets and prepaid expenses Customer deposits Other liabilities and accrued expenses Income tax paid Net cash from operating activities,"11,134 537 611 1,223 (384) (658) (15,381) (319) (860) (814) 476 13,210 (248) (4,713) ______________ 3,814",,"12,293 487 583 1,405 (2) 104 (8,466) 4,497 (6,999) (4,146) (1,982) 13,654 1,630 (3,725) ______________ 9,333"
Cash in hand (Note 14) Available-for-sale securities maturing within ninety days (Note 16) Items in the course of collection from banks Due from group companies (Note 36) Deposit and balances due from banking institutions (Note 17) Items in the course of collection to banks Due to group companies (Note 36) Deposits and balances due to banking institutions (Note 24),"6,295 5 870 9,129 1,386 (2,508) (8,760) (4,738) ______________ 1,679",,"6,956 8,109 799 4,755 1,207 (1,873) (13,291) (121) ______________ 6,541"
Due from: Barclays Bank Plc Barclays Africa Group Limited Other group companies Interest income earned on the above Due to: Barclays Bank Plc Barclays Africa Group Limited Other group companies Interest expense incurred on the above,"6,443 2,645 41 ______________ 9,129 35 5,511 3,026 223 ______________ 8,760 30",,"1,666 1,900 1,189 ______________ 4,755 41 2,418 10,318 555 ______________ 13,291 31"
Barclays Bank Plc Barclays Africa Group Limited,453 335,,429 353
At the start of the year Amounts advanced during the year Repayments received At the end of year,113 - (71) ______________ 42,,42 - (4) ______________ 38
Key management compensation Salaries and other short –term employment benefits Directors emoluments - Fees for services as directors - Other emoluments (included in key management compensation above) - Barclays Plc share options scheme (amount recharged to Barclays Bank of Kenya),387 15 120 13,,462 25 95 3
Rent expense Interest on fixed and time deposits Dividends on Barclays Bank of Kenya shares,66 21 14,,65 13 -
Investment balances,911,,90
