"Category
(as defined by IAS 39)",Column,"Class
(as determined by the Group)",Column,Subclasses
Financial assets,"Financial assets at fair value
through profit or loss",Financial assets held for trading,Debt securities,-
,,,Derivative assets,-
,,"Financial assets designated at fair
value through profit or loss",Equity securities,-
,Loans and receivables,Loans and advances to banks,,
,,Due from group companies,,
,,Loans and advances to customers,"Loans to individuals
(retail)",Overdrafts
,,,,Credit cards
,,,,Term loans
,,,,Mortgages
,,,"Loans to corporate
entities","Large corporate
customers"
,,,,SMEs
,,,,Others
,,Items in course of collection,,
,,Cash balances with Central Bank of Kenya,,
,"Available for sale
investments",Debt securities,,Listed
Financial liabilities,"Financial liabilities at
amortised cost",Deposits from banks,,
,,Deposits from customers,Retail customers,-
,,,"Large corporate
customers",-
,,,SMEs,-
,,Items in course of collection,,
,,Borrowings,,
,,Due to group companies,,
,,Other liabilities,,
,Financial assets at fair value through profit or loss,,,
"Off-balance
sheet financial
instruments",Loan commitments,,,
,"Guarantees, acceptances and other financial liabilities",,,
