"IIIOther disclosures
1)Non-performing loans and advances
a)Gross non-performing loans and advances
b)Less: Interest in suspense
c)Total non performing loans and advances
d)Less: loan loss provisions
e)Net non performing loans(c-d)
f) Discounted value of securities
g)Net NPLs (excess)/exposure(e-f)
2)Insider loans and advances
a)Directors ,shareholders and associates
b)Employees
c)Total insider loans and advances
3)Off balance sheet items
a)Letters of credit ,guarantees, acceptances
b)Forwards, swaps and options
c)Other contingent liabilities
Total contingent liabilities
4)Capital strength
a)Core capital
b)Minimum statutory capital
C)Excess/(deficiency)
d)Supplementary capital
e)Total capital
f)Total risk weighted assets
g)Core capital/total deposit liabilities
h)Minimum statutory ratio
i) Excess/(deficiency)
j) Core capital/total risk weighted assets
k)Minimum statutory ratio
l) Excess/(deficiency)
m)Total capital/total risk weighted assets
n)Minimum statutory ratio
o)Excess/(deficiency)
p)Adjusted core capital/total deposit liabilities
q)Adjusted core capital/total risk weighted assets
r) Adjusted total capital/total risk weighted assets
5)Liquidity
a)Liquidity ratio
b)Minimum statutory ratio
c)Excess/(deficiency)",Column,Column,Bank,Column,Column
,"September
2017
Shs ‘000
Unaudited
11,935,508
3,027,322","December
2017
Shs ‘000
Audited
12,614,723
3,256,066","March
2018
Shs ‘000
Unaudited
12,629,491
3,332,688","June
2018
Shs ‘000
Unaudited
14,357,777
3,426,117","September
2018
Shs ‘000
Unaudited
14,598,096
3,080,779"
,"8,908,186
5,359,171
3,549,015
1,549,226","9,358,657
5,570,676
3,787,981
1,656,019","9,296,803
5,717,974
3,578,829
1,700,954","10,931,660
6,368,460
4,563,200
972,774","11,517,317
7,209,293
4,308,024
1,033,811"
,"1,999,789","2,131,962","1,877,875","3,590,426","3,274,213"
,"44,982
12,060,280","44,114
11,674,004","42,866
11,233,471","42,120
11,051,378","41,713
10,884,953"
,"12,105,262","11,718,118","11,276,337","11,093,498","10,926,666"
,"30,021,966
39,850,499
-","24,081,886
44,527,135
-","24,039,028
49,410,773
-","30,228,325
49,315,853
-","27,053,399
49,500,644
-"
,"69,872,465","68,609,021","73,449,801","79,544,178","76,554,043"
,"39,081,891
1,000,000","38,767,686
1,000,000","37,929,158
1,000,000","37,717,960
1,000,000","38,515,267
1,000,000"
,"38,081,891","37,767,686","36,929,158","36,717,960","37,515,267"
,"5,162,854","5,166,021","5,038,949","5,045,494","5,045,413"
,"44,244,745","43,933,707","42,968,107","42,763,454","43,560,680"
,"246,227,748 2
19.4%
8.0%
11.4%
15.9%
10.5%
5.4%
18.0%
14.5%
3.5%
38.0%
20.0%
18.0%","43,728,272
20.8%
8.0%
12.8%
15.9%
10.5%
5.4%
18.0%
14.5%
3.5%
33.4%
20.0%
13.4%","250,482,913
19.6%
8.0%
11.6%
15.1%
10.5%
4.6%
17.2%
14.5%
2.7%
21.0%
16.2%
18.2%
36.2%
20.0%
16.2%","256,715,452
17.6%
8.0%
9.6%
14.7%
10.5%
4.2%
16.7%
14.5%
2.2%
17.9%
15.0%
16.9%
38.3%
20.0%
18.3%","260,837,332
17.5%
8.0%
9.5%
14.8%
10.5%
4.3%
16.7%
14.5%
2.2%
17.9%
15.1%
17.1%
39.9%
20.0%
19.9%"
