"Freehold
land and
residential
buildings","Plant and
machinery","Office
equipment
and tools","Capital work-
in-Progress**",Total
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
"7,619","33,516","1,128",565,"42,828"
"2,395",(116),743,63,"3,085"
230,121,35,"6,575","6,961"
"1,838","4,485",-,-,"6,323"
34,210,-,(244),-
(79),-,(54),-,(133)
-,-,-,(171),(171)
(1),34,1,(39),(5)
"12,036","38,250","1,853","6,749","58,888"
386,"20,402",947,-,"21,735"
"1,196","1,232",657,-,"3,085"
213,"1,308",100,-,"1,621"
-,-,(54),-,(54)
1,(3),1,-,(1)
"1,796","22,939","1,651",-,"26,386"
"10,240","15,311",202,"6,749","32,502"
