Non-Executive Director Remuneration,Column,Column,Column,Column,Column,Column
Name,"Annual
Fees","Sitting
Allowance1",Total 2021,"Annual
Fees","Sitting
Allowance",Total 2020
Dr John Simba,"1,554,114","1,374,792","2,928,906","1,554,114","2,271,396","3,825,510"
Rita Kavashe,"691,080","1,315,017","2,006,097","691,080","1,673,658","2,364,738"
Alice Owuor,"691,080","1,673,658","2,364,738","691,080","1,912,752","2,603,832"
Dr Helen Gichohi,"691,080","1,195,470","1,886,550","691,080","1,434,564","2,125,644"
Mbuvi Ngunze,"691,080","1,673,658","2,364,738","691,080","1,912,752","2,603,832"
Austin A.O. Ouko,0,"1,195,470","1,195,470",0,"239,094","239,094"
"National Social
Security Fund","691,080",0,"691,080","236,620",0,"236,620"
Total Fees,"5,009,514","8,428,065","13,437,579","5,009,514","10,759,233","15,768,747"
