DIRECTOR,CATEGORY,"BOARD
MEETINGS
ATTENDED","BOARD MEET-
INGS ELIGIBLE
TO ATTEND",AGM,EGM
Dr John Simba,Non-Executive,5/5,5/5,1/1,1/1
"Seddiq Hassani*
(Resigned on 31/03/2023)",Executive,1/5,1/1,-,-
"Mohit Kapoor**
(Appointed on 1/4/2023)",Executive,4/5,4/4,1/1,1/1
"Vasileios Karalis*
(Resigned on 31/05/2023)",Executive,1/5,2/2,-,-
"Eugene Antera**
(Appointed on 1/06/2023)",Executive,3/5,3/3,1/1,1/1
Jean-Michel Pons,Executive,5/5,5/5,1/1,1/1
Alice Owuor,"Independent
Non-Executive",5/5,5/5,1/1,1/1
Dr Helen Gichohi,"Independent
Non-Executive",4/5,5/5,1/1,1/1
Mbuvi Ngunze,"Independent
Non-Executive",5/5,5/5,1/1,1/1
Rita Kavashe,"Independent
Non-Executive",2/5,5/5,1/1,1/1
"John Stull*
(Resigned on 31/03/2023)",Non-Executive,1/5,1/1,-,-
"Rajesh Surana**
(Appointed on 01/04/2023)",Non-Executive,3/5,4/4,1/1,0/1
"Austin A.O. Ouko*
(Resigned on 30/11/2023)",Non-Executive,5/5,5/5,1/1,-
"Guillaume Dubreuil*
(Resigned on 31/03/2023)",Non-Executive,1/5,1/1,-,-
"Claudia Albertini**
(Appointed on 20/07/2023)",Non-Executive,2/5,1/2,-,0/1
"Sonal Shrivastava*
(Resigned on 30/06/2023)",Non-Executive,1/5,1/2,1/1,-
"David Koros**
(Appointed on 07/12//2023)",Non-Executive,-,-,-,0/1
