Column,2020,2019
,KSh’000,KSh’000
"16
16
16
17
15",,
,"1,000,000","1,000,000"
,23,23
,-,"26,638"
,"1,726,977","1,755,585"
,"4,979,065","3,932,965"
,"4,150,000","3,000,000"
,"11,856,065","9,715,211"
"26
18",,
,"48,135","172,425"
,"1,528,229","1,698,214"
,"1,576,364","1,870,639"
,"13,432,429","11,585,849"
"19
18",,
,"10,481,820","10,097,866"
,"432,397","587,213"
,"10,914,217","10,685,079"
"21
22
23
27
24",,
,"3,703,968","5,396,459"
,"4,715,931","3,623,556"
,"5,043","42,799"
,"482,301","377,026"
,"1,884,392","1,811,443"
,"10,791,635","11,251,283"
"25
26
23
27
29",,
,"6,235,909","7,875,452"
,"19,422","16,176"
,"15,519","4,745"
,"223,411","716,844"
,"1,779,162","1,737,296"
,"8,273,423","10,350,513"
,"2,518,212","900,770"
,"13,432,429","11,585,849"
