At 31 December 2022,"Less than 1 year
KShs’ 000","Between 1 & 3 years
KShs’ 000"
Liabilities,,
Borrowings,"21,503","6,551"
Trade and other payables,"2,757,929",-
Amounts due to related parties,"865,735",-
Derivative financial instruments,"4,848",-
Total financial liabilities,"3,650,015","6,551"
Assets,,
Cash and bank balances,"2,367,962",-
Amounts due from related parties,"4,889,737",-
Trade and other receivables,"220,010",-
Derivative financial instruments,"2,772",-
Total financial assets,"7,480,481",-
