"Carrying
amount","Quoted
prices in
active
markets","Significant
observable
inputs","Significant
unobservable
inputs"
,(Level 1),(Level 2),(Level 3)
FRw’000,FRw’000,FRw’000,FRw’000
"101,621,779","101,621,779",-,-
"107,102,581",-,"107,102,581",-
"142,021,914",-,"142,021,914",-
-,-,"12,166,178",
-,-,"1,216,854",
"851,099,810",-,"851,099,810",-
"2,742,765",-,"2,742,765",-
"14,118,194",-,"14,118,194",-
"1,218,707,044","101,621,779","1,130,468,296",-
"130,557,930","130,557,930",-,-
"790,811,261",-,"790,811,261",-
"13,286,327",-,"13,286,327",-
"6,713,188",-,"6,713,188",-
"26,269,572",-,"26,269,572",-
"64,940,879",-,"64,940,879",-
"1,032,579,157","130,557,930","902,021,227",-
