Entity,Total Assets 11Net Loans Customer Deposits Equity,Column,Column,Column,Column,Column,Column,Column
,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank,% Market Share,Rank
,37.8%,1,45.0%,1,37.0%,1,39.6%,1
,11.0%,2,10.2%,2,11.5%,2,10.7%,2
,10.8%,3,9.9%,3,10.5%,3,10.2%,3
,10.2%,4,9.0%,4,9.4%,4,9.3%,4
,7.2%,5,8.1%,5,7.1%,5,7.0%,6
,6.0%,6,7.7%,6,6.1%,6,6.4%,5
,4.8%,7,2.4%,8,5.8%,7,4.8%,7
,3.8%,8,2.2%,10,4.5%,8,3.9%,8
,3.1%,9,2.2%,7,3.9%,9,3.6%,9
,3.0%,10,1.8%,11,2.1%,11,2.9%,11
,2.2%,11,1.6%,9,2.1%,10,1.6%,10
