Name,Lfic Ra,Lfic Be,"Lfrc Excl Loss
Component","Loss
Component",Total
,"185,487","2,727,502
-
2,727,502
-
4,549,827
4,083,020
466,807
-
-
-
4,549,827
(9,343)
(9,343)
(3,774,252)
-
(3,307,445)
(466,807)
-
3,493,734
-","734,918","3
-
3
-
71,670
-
-
-
71,670
-
71,670
-
-
-
-
-
-
-
71,673
-","3,647,910"
,-,,"(164,183)",,"(164,183)"
,"185,487",,"570,735",,"3,483,727"
,-,,"(7,881,938)",,"(7,881,938)"
,"51,016",,"446,517",,"5,119,030"
,-,,-,,"4,083,020"
,-,,-,,"466,807"
,"51,016",,-,,"51,016"
,-,,-,,"71,670"
,-,,"446,517",,"446,517"
,"51,016",,"(7,435,421)",,"(2,762,908)"
,-,,-,,"(9,343)"
,-,,-,,"(9,343)"
,-,,"7,616,939",,"3,842,687"
,-,,"8,110,203",,"8,110,203"
,-,,-,,"(3,307,445)"
,-,,-,,"(466,807)"
,-,,"(493,264)",,"(493,264)"
,"236,503",,"963,183",,"4,765,092"
,-,,"(210,930)",,"(210,930)"
,"236,503","3,493,734","752,253","71,673","4,554,163"
