Mr. James GATERA (Not in Photo),Managing Director
Mr. Désiré MUSONI,"Head of Organization, Research & Strategy"
Mr. Louis RUGERINYANGE,Head of Administration
Mr. Pascal RURANGWA,Head of Internal Audit
Mr. Adolphe NGUNGA,Head of Domestic Operations
Mr. Cisco KANYANDEKWE,Head of Finance
Mrs. Yvonne CYUMA,Head of Legal Affairs
Mr. Lawson NAIBO,Chief Operations Officer
Mr. Alex NGABONZIZA,Head of ICT
Mrs. Monique NYIRAMUGWERA,Head of Credit
Mr. Enock LUYENZI KINYEMBA,Head of General Services
Mr. Martin KANA MULISA,Head of Marketing
Mrs. Frances IHOGOZA,Company Secretary
Mr. Jean Marie GACANDAGA,Head of Risk Management
Mrs Flora NSINGA (Not in Photo),Head of Human Resources Management
