Column,Column,THE BANK,Column,Column,THE GROUP,Column
,,,2017,2016,,2017
(a),Net loans and advances,,FRw’000,FRw’000,,FRw’000
,Corporate,,"367,759,988","262,914,896",,"367,759,825"
,Small and Medium Enterprises,,"54,702,928","71,091,493",,"54,702,928"
,Non-Profit Entities,,"5,627,605","5,177,490",,"5,627,590"
,Total Corporate Loans,,"428,090,521","339,183,879",,"428,090,343"
,Gross Retail Banking,,"67,882,314","58,879,183",,"67,882,474"
,Discount on Staff Loans,,"(261,187)","(440,293)",,"(261,169)"
,Total Retail Loan Book,,"67,621,127","58,438,890",,"67,621,305"
,Total Gross loans,,"495,711,648","397,622,769",,"495,711,648"
,"Allowance for Impairment - Specific
assessment",,"(20,702,211)","(9,078,820)",,"(20,702,211)"
,"Allowance for Impairment – Collective
assessment",,"(3,305,122","(2,719,379)",,"(3,305,122)"
,Net carrying amount,,"471,704,315","385,824,570",,"471,704,315"
