Column,YE 2019,YE 2018,YE 2017,YE 2016,YE 2015,YE 2014,YE 2013,YE 2012,Column,YE 2011,YE 2010
Profitability,,,,,,,,,,,
"Return on Average Assets, %",3.9%,3.4%,3.4%,3.5%,3.9%,4.0%,4.0%,3.9%,,3.6%,3.5%
"Return on Average Equity, %",18.0%,17.2%,20.2%,20.0%,21.7%,22.9%,22.2%,18.9%,,18.6%,24.5%
"Net Interest Margin , %",11.0%,10.4%,10.4%,10.5%,10.1%,9.9%,11.1%,9.6%,,8.4%,8.3%
"Loan Yield, %",16.2%,15.3%,16.2%,17.6%,19.2%,20.5%,20.5%,17.0%,,16.9%,15.8%
"Interest Expense/Interest Income,%",19.4%,19.4%,22.3%,22.9%,22.9%,24.4%,22.2%,26.0%,,26.8%,25.6%
,,,,,,,,,%,,
"Cost of Funds, %",3.1%,3.0%,3.2%,3.3%,3.2%,3.4%,3.3%,3.4%,,3.1%,2.8%
Efficiency,,,,,,,,,,,
Cost/Income Ratio,42.2%,48.1%,45.2%,47.4%,47.8%,47.9%,48.4%,52.8%,,48.4%,47.5%
"Costs/Average Assets, %",5.4%,6.2%,6.1%,6.1%,5.8%,6.2%,7.0%,6.6%,,5.9%,5.8%
Personnel Costs/Total Recurring Operating Costs,48.3%,45.6%,50.5%,38.6%,49.4%,51.8%,,47.4%,,51.8%,52.3%
"Personnel Costs/Average Total Assets, Annualised",2.6%,2.8%,3.1%,2.3%,2.9%,3.2%,3.1%,3.1%,,2.9%,3.0%
Personnel Costs/Total Operating Income,20.4%,21.9%,22.9%,18.3%,23.6%,24.8%,21.8%,25.0%,,25.1%,25.0%
Net Income/Total Operating Income,30.8%,26.3%,25.3%,27.0%,32.1%,31.5%,27.6%,30.7%,,29.5%,29.2%
Total Operating Income/Average Assets %,12.8%,13.0%,13.5%,12.8%,12.2%,12.9%,14.4%,12.6%,,12.1%,12.1%
Liquidity,,,,,,,,,,,
"Net Loans/Total Assets,%",66.5%,64.7%,64.9%,60.4%,55.9%,48.4%,47.1%,57.3%,,42.8%,51.3%
Liquid Assets / Total Assets,27.9%,30.1%,28.8%,32.8%,38.4%,45.7%,46.0%,31.9%,,45.1%,37.0%
Liquid Assets / Total Deposits,40.9%,44.5%,42.1%,47.3%,52.9%,64.9%,65.2%,44.7%,,64.9%,47.3%
Liquid Assets / Total Liabilities,35.7%,38.6%,34.7%,39.5%,46.7%,56.1%,55.2%,39.6%,,57.4%,44.1%
Total Deposits / Total Assets,68.4%,,68.5%,69.4%,,70.4%,,,,69.5%,
,,67.6%,,,72.6%,,,71.3%,,,78.2%
Total Deposits / Total Liabilities,87.3%,86.9%,82.4%,83.6%,88.2%,86.5%,84.7%,88.7%,,88.4%,93.2%
Interbank Borrowings / Total Deposits,7.8%,10.3%,8.6%,5.4%,5.6%,4.5%,5.8%,8.0%,,9.5%,12.2%
Gross Loans/Total Assets,71.2%,68.4%,68.2%,62.3%,57.9%,51.1%,50.2%,60.1%,,45.4%,53.4%
Gross Loans / Total Deposits,104.2%,101.2%,99.5%,88.9%,79.7%,72.6%,71.1%,84.2%,,65.3%,68.3%
Interest Earning Assets/Total Assets,90.6%,91.1%,91.0%,88.9%,87.8%,87.7%,88.4%,80.5%,,82.0%,81.6%
"Leverage (Total Liabilities/Equity), Times",3.6,3.5,4.9,4.9,4.7,4.4,5.0,4.1,,3.7,5.2
Asset Quality,,,,,,,,,,,
"NPLs /Total Loans, %",5.7%,4.9%,5.6%,4.5%,4.9%,6.6%,6.9%,6.5%,,8.3%,8.5%
NPL Coverage Ratio,105.2%,98.8%,72.9%,55.0%,57.2%,81.8%,87.4%,70.3%,,69.1%,45.8%
NPL Coverage Ratio (Net Exposure),132.8%,99.9%,199.6%,128.4%,110.2%,169.0%,134.6%,90.0%,,94.0%,62.3%
,,,,,,,,,%,,
"Loan Loss reserve / Gross Loans ,%",6.6%,5.4%,4.8%,3.0%,3.3%,5.4%,6.1%,4.6%,,5.8%,3.9%
"Average Loan Loss reserve / Average Gross Loans ,%",6.1%,5.2%,4.0%,3.1%,4.2%,5.7%,5.4%,5.1%,,4.9%,4.3%
Large Exposures / Gross Loans,38.3%,36.8%,46.2%,54.3%,24.1%,18.0%,5.4%,6.5%,,8.8%,14.3%
"Cost of Risk, Annualised",2.7%,2.1%,3.7%,2.9%,2.6%,3.3%,4.4%,2.2%,,3.8%,2.0%
Capital Adequacy,,,,,,,,,,,
Core Capital / Risk Weighted Assets,30.3%,32.1%,18.9%,19.0%,22.1%,25.8%,23.1%,22.4%,,28.1%,18.7%
Total Qualifying Capital / Risk Weighted Assets,30.6%,32.0%,19.5%,19.6%,22.5%,26.3%,23.7%,23.2%,,29.1%,20.1%
Off Balance Sheet Exposure / Total Qualifying Capital,38.5%,41.2%,80.7%,77.9%,66.0%,39.5%,62.1%,53.8%,,,
