GROUP,Column,Column,COMPANY,Column
2016,,,2016,
KShs’000,,,KShs’000,
"164,900",,,"197,086",
"(80,298",),,"(74,865",)
,,"207,104",,
"84,602",,,"122,221",
,,"(110,032)
-
3,228
(119,829)
46,512
10,395",,
"(85,017",),,"(76,731",)
(561,),,(561,)
"4,196",,,"4,079",
"(297,809",),,"(223,400",)
"64,121",,,"54,510",
"10,395",,,"10,395",
,,"(169,726)",,
"(304,675",),,"(231,708",)
,,"(101,532)",,
"(101,532",),,"(101,532",)
,,"(101,532)",,
"(101,532",),,"(101,532",)
,,"( 64,154)",,
"(321,605",),,"(211,019",)
,,"478,158
( 64,154)
( 13,436)",,
"400,568",,,"245,915",
"(321,605",),,"(211,019",)
"(7,546",),,-,
,,"400,568",,
"71,417",,,"34,896",
