Long term business,2010,2009,2008,2007,2006
,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
"Insurance contracts with fixed and
guaranteed terms",,,,,
"- death, maturity and surrender
benefits","1,344,732","590,766","539,214","395,491","413,139"
"- Bonuses and interest on DA and
other contracts","874,704","618,855","506,803","322,651","352,548"
- Increase in policy holder benefits,"897,937","199,745","250,419","564,534","635,978"
Less: Reinsurers’ share,"(99,590)","(65,057)","(51,535)","(34,519)","(61,714)"
,"3,017,783","1,344,309","1,244,901","1,248,157","1,339,951"
Short term business,,,,,
"Claims payable by principal class of
business",,,,,
- Motor,"483,865","360,022","133,748","67,885","41,734"
- Fire,"72,265","31,535","17, 575","4,634","1,985"
- Personal accident and medical,"331,202","201,174","218,057","160,617","110,431"
- Marine,"19,929","38,945","17,749","28,690","12,687"
- Other,"60,035","93,130","34,757","27,062","22,047"
Less: Reinsurers’ share,"(166,972)","(95,620)","(104,733)","(119,983)","(92,262)"
,"800,325","629,186","317,153","168,905","96,622"
Total Long term and Short term,"3,818,108","1,973,495","1,562,054","1,417,062","1,436,573"
