Column,2010,Column,2009,Column,Column
,31.12.10,Movement,31.12.09,Movement,1.1.09
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Property and equipment:,,,,,
- on historical cost basis,"7,954","2,170","5,784","3,886","1,898"
Provisions,"4,661",(127),"4,787","4,013",774
Investment property,-,"1,996","(1,996)","(1,996)",-
Tax losses carried forward:,,,,,
"- British-American Insurance
Company (Kenya) Limited",-,-,-,"(2,909,689)","2,909,689"
"- British-American Asset Managers
Limited","5,619","(10,834)","16,453","9,721","6,732"
"- British-American Investment
Company (Kenya) Limited","215,752","65,443","150,310","88,954","61,356"
Less: Deferred tax asset not recognised:,,,,,
"- British-American Insurance
Company (Kenya) Limited","(4,313)","(3,677)",(636),"2,912,273","(2,912,909)"
"- British-American Investment
Company (Kenya) Limited","(217,884)","(65,847","(152,040)","(90,742)","(61,294)"
Net deferred tax asset,"11,789","(10,876)","22,662","16,420","6,246"
