Group,"Lands &
Buildings","Leasehold
Improve-
ments","Motor
vehicles","Furniture,
fixtures and
fittings","Computer
equipment",Total
Shs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Year ended 31 December 2008,,,,,,
Cost or valuation,,,,,,
At start of year,"159,973","113,453","17,309","137,241","103,282","531,258"
"Reclassification from investment
property(Note 17)","157,974",-,-,-,-,"157,974"
Reclassification,-,"16,663",,"(16,663)",-,-
Additions,-,"2,873","5,179","11,975","6,995","27,022"
Disposals,-,"21,603",-,"(36,714)","(57,523)","(72,634)"
Valuation,"9,598",-,-,-,-,"9,598"
At end of year,"327,545","154,592","22,488","95,839","52,754","653,218"
Depreciation,,,,,,
At start of year,-,"76,069","7,760","94,647","89,335","267,812"
Charge for the year,"4,799","9,673","2,508","9,701","4,596","31,277"
"Reclassification from other fixed
assets",-,"22,043",-,"(38,262)","(58,074)","(74,293)"
At end of year,"4,799","107,785","10,268","66,086","35,857","224,795"
Net book amount,,,,,,
At 1 January 2008,"159,973","37,383","9,548","42,594","13,948","263,447"
At 31 December 2008,"322,746","46,807","12,220","29,753","16,897","428,423"
