Shs’ million,2013,2012,% change
Gross Revenue,"9,461","7,226",31%
Earned Income,"8,365","6,334",32%
Investment income,"6,348","5,049",26%
Other Income 0.6,418,361,16%
Total Income Keny,"a 2.6% 15,130","11,743",29%
"Net Claims payable
1.0%","(4,827)","(3,669)",32%
"1.0%
Interest/unit gain","(2,205)","(1,609)",37%
Commission payable,"(1,873)","(1,476)",27%
Operating expensesT a nzania 1.0,"% (3,211)","(2,287)",40%
Associate’s Profit share,182,146,24%
Profit before tax,"3,196","2,849",12%
Profit after tax,"2,654","2,519",5%
Comp. Income,"4,205","4,185",-
