"asury bills and bonds maturing
ithin 1 year 490,249
1 - 5 years 6,648,896
fter 5 years 10,050,982",Column,Column,Column,Column
,,,"164,877",
,,,"4,755,694",
,,,"9,121,465",
tal,"17,190,127",,"14,042,036",
"start of year 14,042,036
ortization (12,850)
ditions 7,256,480
turities (4,095,539)",,,,
,,,"8,887,987",
,,,-,
,,,"5,734,020",
,,,"(579,971)",
"end of year 17,190,127",,,"14,042,036",
Corporate bonds,,,,
"turing Profile
ithin 1 year 197,726
1 - 5 years 1,165,687
fter 5 years 86,882",,,,
,,,"128,755",
,,,"1,099,118",
,,,"641,027",
"tal 1,450,295",,,"1,868,900",
"start of year 1,868,900
ortization (955)
ditions 296,047
turities (713,697)",,,,
,,,"1,397,713",
,,,-,
,,,"883,909",
,,,(,"412,722)"
"end of year 1,450,295",,,1,",868,900"
. Mortgage loans - Group,,,,
"al loans at start of year 1,043,082
ans advanced 298,368
erest charged 91,627
an repayments (207,016)",,,"916,046",
,,,"196,727",
,,,"82,320",
,,,"(152,011)",
"tal loan amount at end of year
ss: Provision for impairment loss",es,"1,226,061
(47,039)","1,043,082",
,,,"(48,801)",
t loan amount at end of year,,"1,179,022","994,281",
,,"48,801
(1,762)",,
,,,"51,293",
,,,"(2,492)",
,,,"48,801",
,,,"83,113",
,,,"20,200",
,,,"106,925",
,,,"867,156",
,,,"994,281",
