Column,Column,"(576,194)","(201,810)",Column
,,"(22,011)","(23,711)",
,,"(598,205)","(225,521)",
,,"(17,733)","(14,072)",
,,"(67,426)","(44,472)",
,,"(431,534)","(2,735,237)",
,,-,"(2,666,746)",
,,-,"(14,626)",
,,"(299,622)","124,598",
,,-,"670,000",
,,"2,096,137","1,393,200",
,,-,"(448,725)",
,,"44,121","45,058",
,,"352,000","2,038,298",
,,"166,404","148,362",
,,"295,829","325,857",
,,"103,395","27,684",
t cash used in investing activities,,"2,241,571","(1,150,821)",
"ancing activities
idends paid 22
ercompany loan settlement
nk loan proceeds 16
erest paid 16",,,,
,,,(,"581,525)"
,,"(581,525)",,
,,-,,"200,000"
,,"1,180,000",,"400,000"
,,"(941,651)",(,"792,329)"
t cash used in financing activities,,"(343,176)",(,"773,854)"
t increase/ (decrease) in cash and cash equivalents,,,,
,,"1,300,190","(2,150,196)",
start of year,,"88,024","2,238,220",
end of year,39(i),"1,388,214","88,024",
