Group,Column,Company,Column
2017,2016,2017,2016
Shs’000,Shs’000,Shs’000,Shs’000
"865,843","4,239,133
347,664
205,944
(991,129)
(4,232,846)
(32,718)
2,444,727
236,886
(442,281)
1,177,264
(15,298)
(98,384)
-
764,965
(299,576)
(900,819)
5,752
(109,744)
82,024
(160,346)
-
(3,041,787)
(576,135)
6,875,708
(255,509)
5,701
759","(505,163)",
"344,910",,"14,367",
"265,159",,"22,724",
"607,261",,"55,019",
"(5,053,975)",,"(802,540)",
"88,308",,"1,192",
"(1,413,141)",,"(278,515)",
"(135,278)",,"11,850",
"(53,006)",,"(21,336)",
"1,186,147",,"1,025,131",
"(2,271)",,-,
"228,237",,-,
-,,"(174,815)",
"(1,047,543)",,-,
"458,534",,-,
"211,716",,-,
"(52,326)",,-,
"1,108,280",,"(290,727)",
"(5,947)",,-,
"168,212",,"554,292",
-,,"(927,542)",
"5,151,325",,-,
"(884,552)",,-,
"6,177,927",,-,
"207,472",,-,
"(11,708)",,-,
"(1,142)",,-,
"8,408,442","5,229,955","(1,316,063)",
