Group,Column,Column,Column,Column,Column
2020,,,2019,,
"Gross
revenue","Reinsurance
ceded","Net
revenue","Gross
revenue","Reinsurance
ceded","Net
revenue"
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"(11,507)
(323,120)",,"11,802,637
2,039,140",,
"10,214,496",,"10,202,989",,"(5,686)",
"2,157,815",,"1,834,695",,"(248,950)",
"12,372,311","(334,627)","12,037,684","13,841,777","(254,636)",
,"(775,184)
(1,171,953)
(383,077)
(1,249,091)
(1,881)
(1,138,173)",,"764,625
1,405,994
4,420,136
3,971,185
769,490
1,958,663",,
"1,007,030",,"231,846",,"(703,023)",
"1,778,053",,"606,100",,"(949,404)",
"4,690,194",,"4,307,117",,"(330,786)",
"5,237,824",,"3,988,733",,"(757,985)",
"884,376",,"882,495",,(29),
"2,229,831",,"1,091,658",,"(1,026,115)",
"15,827,308","(4,719,359)","11,107,949","13,290,093","(3,767,342)",
"28,199,619","(5,053,986)","23,145,633","27,131,870","(4,021,978)",
,"-
-
-",,"116,484
382,557
36,373",,
"155,560",,"155,560",,-,
"419,651",,"419,651",,-,
"46,329",,"46,329",,-,
"621,540",-,"621,540","535,414",-,
"28,821,159","(5,053,986)","23,767,173","27,667,284","(4,021,978)",
