"Long term
insurance
business","Short term
insurance
business","Asset
Management",Property,"Corporate
and other",Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"15,119,146","17,625,281","736,337",-,-,"33,480,764"
"(705,425)","(6,372,272)",-,-,-,"(7,077,697)"
"14,413,721","11,253,009","736,337",-,,"26,403,067"
"647,823","9,386","14,990","400,634","17,777","1,090,610"
"10,818,652","1,860,192","20,880","17,990","346,777","13,064,491"
"(19,798)","(2,038)",-,,"16,751","(5,085)"
"(3,482,726)","(425,018)",-,,(257),"(3,908,001)"
"157,632","1,445,424",,,,"1,603,056"
"24,603","615,656",(792),"41,267","8,115","688,849"
"22,559,907","14,756,611","771,415","459,891","389,163","38,936,987"
"7,613,228","10,109,385",,,,"17,722,613"
"(305,624)","(3,194,647)",,,,"(3,500,271)"
"3,637,861",-,,,,"3,637,861"
"10,945,465","6,914,738",-,,-,"17,860,203"
"4,922,686",-,,,,"4,922,686"
"1,431,903","2,210,965","187,172",,,"3,830,040"
"22,950","36,578","44,767","12,698","218,617","335,610"
"2,984,255","4,090,588","551,491","59,796","903,655","8,589,785"
"20,307,259","13,252,869","783,430","72,494","1,122,272","35,538,324"
"2,252,648","1,503,742","(12,015)","387,397","(733,109)","3,398,663"
"(41,014)",-,,-,"38,254","(2,760)"
"2,211,634","1,503,742","(12,015)","387,397","(694,855)","3,395,903"
"(663,491)","(546,088)","(43,875)",(515),"(6,786)","(1,260,755)"
"1,548,143","957,654","(55,890)","386,882","(701,641)","2,135,148"
