Class of business,Column,Shs Millions,0 – 15,15 - 250,Over 250,Total
,,,Shs’000,Shs’000,Shs’000,Shs’000
"General
Insurance
business – Sum
assured",Motor,Gross,"95,802,096","30,414,395","119,679,284","245,895,775"
,,Net,"48,040,774","29,601,010","117,273,980","194,915,764"
,Fire,Gross,"23,139,085","161,155,609","1,664,708,168","1,849,002,862"
,,Net,"21,750,131","149,944,603","247,379,880","419,074,614"
,"Personal
accident",Gross,"5,209,621","35,664,319","278,099,808","318,973,748"
,,Net,"3,726,616","28,293,607","164,776,366","196,796,589"
,Other,Gross,"31,575,007","136,776,970","1,135,549,621","1,303,901,598"
,,Net,"30,803,180","79,033,540","136,419,597","246,256,317"
"Long term
business",Ordinary life,Gross,"219,834,160","4,104,653",-,"223,938,813"
,,Net,"206,998,020","1,255,000",-,"208,253,020"
,Group life,Gross,"310,369,955","40,007,738","516,807,908","867,185,601"
,,Net,"304,674,899","16,677,146","243,572,996","564,925,041"
Total,,Gross,"685,929,924","408,123,684","3,714,844,789","4,808,898,397"
,,Net,"615,993,620","304,804,906","909,422,819","1,830,221,345"
