Year ended 31 December 2023,Life Risk,"Life
Savings","Investment
contracts
with DPF",Non-Life,Total
,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000
Contracts not measured under the PAA,,,,,
Amounts relating to changes in liabilities:,,,,,
"CSM recognized for services provided
Change in risk adjustment for non-financial risk for risk expired
Expected incurred claims and other insurance service expenses
after loss component allocation
Insurance acquisition cash flows recovery","735,079","826,686","682,952","87,812","2,332,529"
,"63,616","264,921","56,871","2,350","387,758"
,"995,276","3,134,659","742,041","37,037","4,909,013"
,"223,247",-,-,"78,704","301,951"
"Insurance revenue from contracts not measured under PAA
Insurance revenue from contracts measured under the PAA","2,017,218","4,226,266","1,481,864","205,903","7,931,251"
,"3,007,044",-,-,"25,497,902","28,504,946"
Total insurance revenue,"5,024,262","4,226,266","1,481,864","25,703,805","36,436,197"
Year ended 31 December 2022,,,,,
Contracts not measured under the PAA,,,,,
Amounts relating to changes in liabilities:,,,,,
CSM recognized for services provided,"348,164","806,679","247,397","117,944","1,520,184"
Change in risk adjustment for non-financial risk for risk expired,"47,811","241,624","164,002",-,"453,437"
"Expected incurred claims and other insurance service expenses
after loss component allocation","999,722","2,869,265","909,136",-,"4,778,123"
Insurance acquisition cash flows recovery,"88,534",-,-,"105,041","193,575"
Restatement and other changes,-,-,-,"(538,321)","(538,321)"
Insurance revenue from contracts not measured under PAA,"1,484,231","3,917,568","1,320,535","(315,336)","6,406,998"
Insurance revenue from contracts measured under the PAA,"1,248,823",-,-,"18,113,642","19,362,465"
Total insurance revenue,"2,733,054","3,917,568","1,320,535","17,798,306","25,769,463"
