Column,"Liabilities for Remaining
Coverage",Column,Liabilities for Incurred claims,Column,"Total
Shs'000"
Shs'000,"Excluding
loss
component","Loss
component","Estimates
of present
value of
future cash
flows","Risk
adjustment
for non-
financial risk",
Net Opening balance,-,-,-,-,
Insurance revenue,,,,,
CSM recognized for services provided,"(117,944)",-,-,-,"(117,944)"
Recovery of insurance acquisition cash flows,"(105,041)",,,,"(105,041)"
Restatement and other changes,"124,842","413,479",,,"538,321"
Total insurance revenue,"(98,143)","413,479",-,-,"315,336"
Insurance service expenses,,,,,
Amortisation of insurance acquisition cash flows,"105,041",-,-,-,"105,041"
Losses on onerous contracts and reversal of those losses,,,,,
Insurance service expenses,"105,041",-,-,-,"105,041"
Insurance service result,"6,899","413,479",,,"420,378"
Insurance finance income or expense,,,,,
"The effect of and changes in time of time value of money
and financial risk","49,122",-,-,-,"49,122"
"Total amounts recognised in the statement of profit
or loss","56,021","413,479",-,-,"469,500"
Cash flows,,,,,
Premiums received,"(142,759)",-,-,-,"(142,759)"
Insurance acquisition cashflows,"93,210",-,-,-,"93,210"
Total cash flows,"(49,549)",-,-,-,"(49,549)"
Net balance as at 31 December,"6,472","413,479",-,-,"419,951"
