Column,Carrying,0 – 3,4 -12,1-5,Totals
At 31 December 2023,Values,Months,Months,Years,
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Liabilities,,,,,
Borrowings,"1,567,894","39,919","1,218,069","1,554,304","2,812,292"
Lease liability,"38,400","16,892","28,709",-,"45,601"
Provisions and other payables,"1,922,618","357,790","141,347","1,523,481","2,022,618"
Total financial liabilities,"3,528,912","414,601","1,388,125","3,077,785","4,880,511"
,Carrying,0 – 3,4-12,1-5,Totals
At 31 December 2022,Values,Months,Months,Years,
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Liabilities,,,,,
Borrowings,"1,550,473","550,473","1,089,000",-,"1,639,473"
Lease liability,"175,703","19,420","137,899","185,703","343,022"
Provisions and other payables,"1,382,648","448,252","27,711","906,685","1,382,648"
Total financial liabilities,"3,108,824","1,018,145","1,254,610","1,092,388","3,365,143"
