Column,"Estimates of
Present Value
of Future Cash
Flows
Shs 000'","Risk Adjustment
for Non-financial
Risk
Shs 000'","CSM
Shs 000'",Total
,,,,Shs 000'
"Opening insurance contract assets
Opening insurance contract liabilities","-
63,873,381","-
71,507","-
462,473",-
,,,,"64,407,361"
Net Opening balance,"63,873,381","71,507","462,473","64,407,361"
Changes that relate to current services,"(635,771)","(65,629)","(682,952)","(1,384,352)"
"CSM recognized for services provided
Change in risk adjustment for non-financial risk for risk
expired
Experience adjustments not related to future service","-
-
(635,771)","-
(65,629)
-","(682,952)
-
-","(682,952)"
,,,,"(65,629)"
,,,,"(635,771)"
Changes that relate to future services,"(1,102,888)","43,662","1,169,046","109,820"
"Contracts initially recognised in the year
Changes in estimates that adjust the CSM
Changes in estimates that relate to losses and reversal of
losses on onerous contracts","(146,583)
(1,001,376)
45,071","19,487
11,393
12,782","179,063
989,983
-","51,967"
,,,,-
,,,,"57,853"
Changes that relate to past services,"(9,697)",(594),-,"(10,291)"
"Changes in estimates in LIC fulfilment cash flows
Experience adjustments in claims and other insurance
service expenses in LIC","731
(10,428)","359
(953)","-
-","1,090"
,,,,"(11,381)"
Total Insurance Service result,"(1,748,356)","(22,561)","486,094","(1,284,823)"
Insurance finance income or expense,,,,
"The effect of and changes in time of time value of money
and financial risk","7,130,074",32,-,"7,130,106"
Total insurance finance income or expense,"7,130,074",32,-,"7,130,106"
"Total changes in the statement of financial
performance","5,381,718","(22,529)","486,094","5,845,283"
"Premiums and premium tax received
Claims and other insurance service expenses paid,
including investment components","15,343,735
(10,780,172)","-
-","-
-","15,343,735"
,,,,"(10,780,172)"
Total Cash flows,"4,563,563",-,-,"4,563,563"
Other movements,"(93,352)","42,099",(2),"(51,255)"
Net Closing balance,"73,725,310","91,077","948,565","74,764,952"
"Closing Insurance contract assets
Closing Insurance contract liabilities","-
73,725,310","-
91,077","-
948,565",-
,,,,"74,764,952"
Net Closing balance,"73,725,310","91,077","948,565","74,764,952"
