"Present value
of future
cashflows","Risk
adjustment for
non-financial
risk","Contracts
service margin",Total
"15,799,869","572,983","5,726,168","22,099,020"
"15,799,869","572,983","5,726,168","22,099,020"
-,-,"(1,243,363)","(1,243,363)"
-,"(267,972)",-,"(267,972)"
"(2,143,042)","(18,695)",-,"(2,161,737)"
"(2,143,042)","(286,667)","(1,243,363)","(3,673,072)"
"(656,158)","(33,023)","689,181",-
"(396,256)","(27,902)",-,"(424,158)"
"(890,486)","186,789","910,082","206,385"
"(1,942,900)","125,864","1,599,263","(217,773)"
"2,102,386","(1,659)",-,"2,100,727"
"(1,983,556)","(162,462)","355,900","(1,790,118)"
"5,578,219","139,425","836,128","6,553,772"
"3,594,663","(23,037)","1,192,028","4,763,654"
"(406,456)",-,-,"(406,456)"
"11,394,450",-,-,"11,394,450"
"(10,590,749)",-,-,"(10,590,749)"
"803,701",-,-,"803,701"
"19,791,777","549,946","6,918,196","27,259,919"
