Column,Dondoo za ajenda,Kubali,Kataa,Kauli tofauti
,Shughuli za kawaida:,,,
1,"Kupokea, kutathmini, na ikikubaliwa, kuidhinisha taarifa za jumla za
hesabu zilizokaguliwa za mwaka uliomalizika Desemba 31, 2025, pamoja
na taarifa za Mwenyekiti, Wakurugenzi na Wakaguzi wa Hesabu.",,,
2,"Kufahamishwa kwamba wakurugenzi hawatapendekeza malipo ya
mgawo wa faida ya mwaka uliomalizika Desemba 31, 2025.",,,
3,"Wakurugenzi:
i) Dkt Peter K. Munga anastaafu kwa zamu kwa mujibu wa Vifungu
91 na 92 vya Kanuni za Kampuni. Ametimiza umri wa miaka 70 na
anastaafu kwa mujibu wa Mwongozo wa Kanuni za Usimamizi
wa Mashirika ya Watoaji Amana kwa Umma wa 2015, na kwa vile
anastahili, anajitolea kuchaguliwa tena kuwa mkurugenzi wa
Kampuni.",,,
,"ii) Bw Jimnah Mbaru anastaafu kwa zamu kwa mujibu wa Vifungu
91 na 92 vya Kanuni za Kampuni. Ametimiza umri wa miaka 70 na
anastaafu kwa mujibu wa Mwongozo wa Kanuni za Usimamizi
wa Mashirika ya Watoaji Amana kwa Umma wa 2015, na kwa vile
anastahili, anajitolea kuchaguliwa tena kuwa mkurugenzi wa
Kampuni.",,,
,"iii) AfricInvest III SPV 1, Shirika Mkurugenzi linalowakilishwa na Bw
George Odo, linastaafu kwa mujibu wa Kifungu 114 cha Kanuni
za Kampuni, na kwa vile linastahili, linajitolea kuchaguliwa tena
kuwa mkurugenzi wa Kampuni.",,,
,"iv) Bw Julius Mbaya anastaafu kwa zamu mkutanoni kwa mujibu wa
Vifungu 91 na 92 vya Kanuni za Kampuni, na kwa vile anastahili,
anajitolea kuchaguliwa tena kuwa mkurugenzi wa Kampuni.",,,
,"v) Bi Celestine Munda anastaafu mkutanoni kwa mujibu wa Vifungu
91 na 92 vya Kanuni za Kampuni, na kwa vile anastahili, anajitolea
kuchaguliwa tena kuwa mkurugenzi wa Kampuni.",,,
,"vi) Bi Susan Abisola anastaafu mkutanoni kwa mujibu wa Vifungu 91
na 92 vya Kanuni za Kampuni, na kwa vile anastahili, anajitolea
kuchaguliwa tena kuwa mkurugenzi wa Kampuni.",,,
4,"Kwa mujibu wa Kifungu 769 cha Sheria ya Makampuni ya 2015, wakuru‑
genzi wafuatao walio kwenye Kamati ya Bodi ya Ukaguzi wa Hesabu na
Udhibiti wa Hatari za Kibiashara kwa Kampuni wanajitolea wachaguliwe
kuendelea kuitumikia kamati hiyo. Wao ni: ‑
a) Bi Celestine Munda
b) Bi Susan Abisola
c) Bi Judy Rugasira Kyanda",,,
