TOP TEN CLASS A SHAREHOLDERS AS AT 19TH MARCH 2012,Column,Column
ITEM NO.,NAME OF SHAREHOLDERS,SHARES
1,THE CO-OPERATIVE BANK OF KENYA LTD,"28,919,030"
2,CO-OPERATIVE BANK SAVINGS AND CREDIT SOCIETY LTD,"7,798,136"
3,K-UNITY SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"2,600,324"
4,HARAMBEE CO-OPERATIVE SAVINGS AND CREDIT SOCIETY LTD,"1,468,095"
5,EMBU FARMERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"1,441,848"
6,KIPSIGIS TEACHERS SAVINGS & CREDIT SOCIETY LTD,"1,240,177"
7,FEP CO-OPERATIVE SAVINGS AND CREDIT SOCIETY LTD,"1,200,000"
8,BARINGO TEACHERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"1,088,926"
9,H& M SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD.,"1,030,500"
10,KENYA POLICE STAFF CO-OPERATIVE SAVINGS AND CREDIT SOCIETY LTD,"988,446"
,TOTAL,"47,775,482"
