Code,Location,Branch
002,Co-op Hse,Co-operative Bank Hse
003,Kisumu,Oginga Odinga Street
004,Mombasa,Nkrumah Rd
005,Meru,Co-op. Bank Hse
006,Nakuru,Geofrey Kamau Avenue
007,"Industrial Area, Nairobi",Nanyuki Rd
008,Kisii,Magsons Plaza
009,Machakos,Syokimau Rd
010,Nyeri,Kenyatta Avenue
011,Ukulima,Ukulima Co-op Hse
012,Kerugoya,DCU Hse
013,Eldoret,Ronald Ngala Street
014,Moi Avenue,Biashara Plaza
017,Nyahururu,Nyeri Rd
018,Chuka,Chuka Hse
020,Eastleigh,"1st Avenue, Yare Business Park"
021,Kiambu,Mapa Hse Rd
022,Homabay,Sonyaco Plaza
023,Embu,Emco Hse
024,Kericho,Koineei Plaza
025,Bungoma,Moi Street
026,Murang'a,Uhuru Highway
027,Kayole,"Kayole, Vicinity of Kayole PCEA, Spine"
028,Karatina,Nyeri-Nairobi Highway
029,Ukunda,Diani Road
030,Mtwapa,Malindi Road
031,"University Way, Nairobi",Posta Plaza Hse
032,Buru Buru,Buru Buru
033,Athi River,Athi River
034,Mumias,Mumias Municipality
035,"Stima Plaza, Nairobi",Stima Plaza Bldg
039,Thika,Thika Town
040,Nacico,Nacico Plaza
041,Kariobangi,Kariobangi Light Industries
042,Kawangware,Muhu Kawangware
043,Makutano,Ntima Hse
044,Parliament Rd,Cannon Hse
045,Kimathi Street,Elite Arcade Bldg
046,Kitale,Nakami Bldg
047,Githurai,Thika Rd
048,Maua,Maua Plaza
049,City Hall Annex,City Hall Annex
050,Digo Rd,Digo Rd
051,Nairobi Business Centre,China Centre
052,Kakamega,Opposite Muliro Gardens
053,Migori,Migori
015,Naivasha,Naivasha
