Kshs. Billions (except for EPS),Q22018,Q22017,% Change (Y/Y),FY2017
Interest Income,20.8,19.3,7.9%,40.4
Interest Expense,6.0,5.8,2.2%,12.3
Net Interest Income,14.8,13.4,10.4%,28.1
Fees & Commissions,5.1,5.3,-2.6%,9.8
Forex Income,1.2,1.2,-1.7%,2.2
Other Income,0.57,0.53,7.3%,1.4
Total Operating Income,21.8,20.5,6.3%,41.6
Loan Loss Provision,1.1,1.5,-27.6%,3.6
Staff Costs,5.3,4.7,13.0%,10.1
Other Operating Expenses,5.5,5.1,8.4%,11.6
Profit Before Tax and Exceptional Items,9.8,9.2,7.2%,16.3
Share of profit of associate,0.14,0.1,53.1%,0.13
Profit Before Tax,10.0,9.3,7.6%,16.4
Tax,2.8,2.6,7.7%,4.99
Profit After Tax,7.1,6.6,7.6%,11.4
Basic Annualized EPS,2.4,2.3,4.3%,1.9
