Column,Dec-19,Dec-18,Dec-17,Dec-16,Dec-15
Capital Adequacy Ratios,,,,,
Core capital (Tier 1) to Total Deposits,20.2%,19.3%,20.0%,19.7%,17.5%
Core capital (Tier 1) to Total risk weighted assets,16.3%,16.0%,15.8%,16.1%,15.7%
Total capital / Total risk weighted assets,16.8%,16.4%,22.0%,22.7%,22.4%
SHEQ Capital / Average Assets,18.2%,17.5%,18.8%,17.7%,16.0%
Debt to Equity Ratio (Total Debt / SHEQ),33.3%,34.3%,30.4%,32.3%,38.4%
Asset Quality Ratios,,,,,
Coverage Ratio,58.1%,54.7%,54.3%,71.2%,87.5%
Cost of Risk,1.0%,0.7%,1.5%,1.2%,1.0%
Non-Performing Loans in Total Loans,9.9%,10.3%,7.0%,4.3%,3.4%
Earnings and Efficiency Profitability Ratios,,,,,
Return on Average Asset (ROAA),3.3%,3.2%,3.1%,3.7%,3.7%
Return on Equity (ROAE),19.2%,18.3%,17.4%,22.7%,25.0%
Net Interest Margin,8.8%,9.4%,8.9%,10.5%,10.3%
FX/Non Funded,12.5%,17.7%,16.5%,14.1%,24.2%
Non - Funded to Total Operating Income,35.4%,29.5%,32.4%,30.2%,36.2%
Cost Income Ratio (With provision),57.4%,58.8%,60.9%,58.3%,58.8%
Cost Income Ratio (Without Provision),52.1%,54.6%,52.2%,52.1%,53.2%
Liquidity Ratios,,,,,
Liquidity ratio,46.2%,41.1%,33.8%,33.7%,37.1%
Total Loans to Total Deposits,80.1%,80.1%,88.2%,89.9%,77.6%
Loans /(Deposits+Borrowed Funds),74.2%,74.3%,82.0%,84.0%,72.0%
Source: CBK Audited Disclosure,,,,,
