"Freehold
land &
buildings","Capital
work-in
progress",Fixtures,"Office
machinery,
furniture &
equipment","Motor
vehicles",Computers,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"2,408,791","643,280","8,626,621","2,352,792","187,338","6,348,572","20,567,394"
"1,423","228,996","75,218","126,273","16,407","610,113","1,058,430"
-,-,-,"(3,730)","(6,498)","(6,488)","(16,716)"
"(60,091)",-,-,-,-,-,"(60,091)"
-,"(398,953)","104,292","3,503",-,"291,158",-
-,"25,156",-,"194,720","(4,860)","25,246","240,262"
-,-,(366),366,-,-,-
-,"(7,311)","(116,232)",-,-,-,"(123,543)"
"2,350,123","491,168","8,689,533","2,673,924","192,387","7,268,601","21,665,736"
"186,286",-,"6,719,954","1,742,050","119,865","5,185,191","13,953,346"
"93,143",-,"614,882","216,910","18,690","579,966","1,523,591"
-,-,-,"(3,107)","(6,498)","(6,441)","(16,046)"
"(279,429)",-,-,-,-,-,"(279,429)"
-,-,"(90,055)",-,-,-,"(90,055)"
-,-,-,"47,044","1,295","11,662","60,001"
-,-,"7,244,781","2,002,897","133,352","5,770,378","15,151,408"
"2,350,123","491,168","1,444,752","671,027","59,034","1,498,223","6,514,328"
