Kshs. Billions (Except for EPS),Q32020,Q32019,% Change (Y/Y)
Interest Income,32.5,30.4,7.1%
Interest Expense,8.9,9.2,-3.5%
Net Interest Income,23.6,21.2,11.7%
Fees & Commissions,11.3,11.6,-1.9%
Forex Income,1.8,1.6,13.9%
Other Income,0.4,0.91,-54.2%
Total Operating Income,37.2,35.2,5.6%
Loan Loss Provision,4.0,2.1,89.4%
Staff Costs,9.7,9.1,6.3%
Other Operating Expenses,9.8,8.6,13.5%
Profit Before Tax and Exceptional Items,13.8,15.4,-10.6%
Share of profit of associate,(0.04),0.02,-267.9%
Profit Before Tax,13.8,15.5,-11.0%
Tax,4.0,4.6,-13.0%
Profit After Tax,9.8,10.9,-10.2%
Basic Annualized EPS,2.2,2.5,-10.2%
