"Within
12 months","After
12 months",Total,"Within
12 months","After
12 months",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"30,828,477",-,"30,828,477","27,511,150",-,"27,511,150"
"8,535,973",-,"8,535,973","6,970,086",-,"6,970,086"
"59,274,300","126,688,309","185,962,609","59,174,300","103,050,792","162,225,092"
"87,422,678","222,772,619","310,195,297","84,020,630","220,563,807","304,584,437"
-,-,-,-,-,-
-,"5,411,716","5,411,716",-,"5,080,346","5,080,346"
-,"33,303","33,303",-,"33,303","33,303"
-,"20,535,077","20,535,077",-,"18,441,627","18,441,627"
-,-,-,-,"3,884,925","3,884,925"
-,"2,146,675","2,146,675",-,"706,444","706,444"
-,"6,389,748","6,389,748",-,"5,094,508","5,094,508"
-,"3,956,444","3,956,444",-,"3,411,854","3,411,854"
-,"2,534,335","2,534,335",-,"2,442,970","2,442,970"
-,"3,294,000","3,294,000",-,-,-
"186,061,428","393,762,226","579,823,654","177,676,166","362,710,576","540,386,742"
"405,928,870","1,796,895","407,725,765","396,760,867","1,925,426","398,686,293"
"792,102",-,"792,102","754,572",-,"754,572"
"903,763",-,"903,763","907,798",-,"907,798"
-,"173,866","173,866",-,"173,617","173,617"
"26,515,933",-,"26,515,933","24,800,210",-,"24,800,210"
-,"406,465","406,465",-,"406,465","406,465"
"139,057","42,775,565","42,914,622","48,437","20,096,292","20,144,729"
-,"51,669","51,669",-,-,-
"434,279,725","45,204,460","479,484,185","423,271,884","22,601,800","445,873,684"
"(248,218,297)","348,557,766","100,339,469","(245,595,718)","340,108,776","94,513,058"
