"2021
Carrying amount
KShs’000",1% increase,1% decrease,"2020
Carrying amount
KShs’000",1% increase,1% decrease
"8,535,973","85,360","(85,360)","16,915,263","169,153","(169,153)"
"310,195,297","3,101,953","(3,101,953)","286,634,192","2,866,342","(2,866,342)"
,"3,187,313","(3,187,313)",,"3,035,495","(3,035,495)"
"792,102","(7,921)","7,921","221,890","(2,219)","2,219"
"162,579,898","(1,625,799)","1,625,799","156,991,761","(1,569,918)","1,569,918"
"4,286,368","(42,864)","42,864","4,445,956","(44,459)","44,459"
"21,954,622","(219,546)","219,546","46,026,141","(460,261)","460,261"
,"(1,896,130)","1,896,130",,"(2,076,857)","2,076,857"
,"1,291,183","(1,291,183)",,"958,638","(958,638)"
,5.70%,(5.70%),,6.71%,(6.71%)
,"903,828","(903,828)",,"718,979","(718,979)"
"107,837,175","1,078,372","1,078,372","63,718,146","637,181","637,181"
,"1,982,200","(1,982,200)",,"1,356,160","(1,356,160)"
,1.98%,(1.98%),,1.48%,(1.48%)
