"Directors-2021 Board
Meetings Attendance",Co-operative Bank Group,Column,Column,Column,Column,"Co-operative Bank of Kenya Ltd Board
Sub-committees",Column,Column,Column
,"Co-op-
erative
Bank of
Kenya
Ltd","Co-op
Consultan-
cy & Ban-
cassurance
Intermedi-
ary Ltd","Co-op-
trust In-
vestment
Services
Ltd","Kingdom
Securi-
ties","A u d i t
C o m -
mittee","Staff and
Nomina-
tion Com-
mittee","Credit
Commit-
tee","Risk
Com-
mittee","King-
dom
Bank"
Schedule of meetings:,,,,,,,,,
"John K. Murugu, OGW –
Chairman (appointed on
01 October-2017",5,,,,,2,2,,
"Macloud Malonza,MBS,
HSC - Vice Chairman(ap-
pointed on 01 October
2017)",5,5,5,,,,2,,5
"Dr. Gideon Muriuki, CBS,
MBS – Group Managing
Director & CEO",5,5,5,,,2,2,,5
Lawrence C. Karissa,5,,,,4,2,,4,
"Wilfred Ongoro, HSC",5,,,,,,2,,
"W. J. Mwambia -Repre-
senting PS Ministry of
Finance",5,,,,4,,,4,
Julius Sitienei,5,,,5,,2,,,5
Weda Welton (Mrs),5,,,,4,2,,,
Richard L. Kimanthi,5,,,,,,,,
Benedict W. Simiyu,5,,,,4,,,4,
Godfrey K. Mburia,5,,,,,2,,,
Patrick K. Githendu,5,,,,4,,,4,
"Margaret Karangatha
(Mrs)",5,,,,,,2,4,5
"Scholastica Odhiambo
(Mrs)",,5,5,,,,,,
James N. Njiru,,5,5,,,,,,
David M. Muthigani,,5,5,,,,,,
David Kirk Obonyo,,3,3,,,,,,
Geoffrey Njang’ombe,,2,2,,,,,,
Francis Ngone,,5,5,,,,,,
Geoffrey M’Nairobi,,5,5,,,,,,
Michael Muriithi,,5,5,,,,,,
Boaz Ouma Awitti,,,,5,,,,,
Mwangi Kariuki,,,,5,,,,,
Arthur Muchangi,,,,5,,,,,
Anthony Wangari,,,,,,,,,
