Level 1,Level 2,Level 3,Total
KShs'000,KShs'000,KShs'000,KShs'000
-,-,"3,139,309","3,139,309"
"107,837,175",-,-,"107,837,175"
"395,933",-,-,"395,933"
-,-,"199,765","199,765"
-,"199,765",-,"199,765"
-,"2,898,478",-,"2,898,478"
"46,510,452",-,-,"46,510,452"
"29,713,442",-,-,"29,713,442"
,"1,305,843",-,"1,305,843"
-,"2,209,628",-,"2,209,628"
Level 1,Level 2,Level 3,Total
KShs'000,KShs'000,KShs'000,KShs'000
-,-,"3,139,309","3,139,309"
"63,718,146",-,-,"63,718,146"
"90,247",-,-,"90,247"
-,-,"308,095","308,095"
-,"75,549",-,"75,549"
-,"5,385,113",-,"5,385,113"
