"REAL GDP GROWTH RATE , %",Column,Column,Column,Column,Column,Column
,Q1 2020,Q2 2020,Q1 2021,Q2 2021,1H 2020,1H 2021
Agriculture,4.3,4.9,-0.1,-0.9,4.6,-0.5
Industry,4.8,-0.3,4.4,8.5,2.2,6.4
Manufacturing,2.2,-4.7,1.5,9.6,-1.3,5.6
Electricity and Water Supply,1.5,-4.7,2.0,5.2,-1.6,3.6
Construction,10.4,8.2,7.9,6.5,9.3,7.2
Services,4.2,-7.1,2.2,16.8,-1.5,9.5
Wholesale and Retail Trade,4.9,-4.2,7.4,9.5,0.3,8.4
Accommodation and Restaurants,-8.1,-56.8,-48.8,9.1,-32.4,-19.8
Transport & storage,2.2,-16.8,-8.7,16.9,-7.3,4.1
Information & Comm,5.6,2.6,16.1,25.2,4.1,20.7
Financial and Insurance,7.5,4.4,9.4,9.9,6.0,9.7
Real Estate,5.4,4.6,4.5,4.9,5.0,4.7
Education,1.8,-22.4,10.0,67.6,-10.3,38.8
Health,7.4,9.8,9.1,10.0,8.6,9.6
Overall Real GDP Growth,4.4,-4.7,0.7,10.1,-0.2,5.4
