31 December 2023,"Available
immediately
and up to
1 month",1-3 months,3-12 months,1-5 years,Over 5 years,Total
FINANCIAL ASSETS,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"Cash and balances with
Central Bank of Kenya","28,015,013",–,–,–,–,"28,015,013"
"Deposits and balances due
from banks","18,974,973","2,754,079",–,–,–,"21,729,052"
"Investment in financial
instruments","2,004,560","11,483,204","13,926,314","76,714,218","134,690,411","238,818,707"
"Loans and advances to
customers","36,543,292","14,559,653","25,228,184","153,202,210","269,475,674","499,009,013"
Other assets,"650,502","9,082,995","4,725,952","6,350,606","230,857","21,040,912"
"Total undiscounted
financial assets","86,188,340","37,879,931","43,880,450","236,267,034","404,396,942","808,612,697"
FINANCIAL LIABILITIES,,,,,,
"Deposits and balances due
to banks","5,752,083",–,–,–,–,"5,752,083"
Customers’ deposits,"328,351,680","50,505,097","54,583,802","275,892",–,"433,716,471"
Loans and borrowings,"2,585,135",–,–,"5,355,430","51,813,888","59,754,453"
Lease Liability,"115,456","233,355","1,066,581","1,417,357","1,970,623","4,803,372"
Derivatives,–,–,"1,396,103",–,–,"1,396,103"
Other Liabilities,"7,412,856",–,"19,129,759",–,–,"26,542,615"
"Total undiscounted
financial liabilities","344,217,210","50,738,452","76,176,245","7,048,679","53,784,511","531,965,097"
"Net liquidity gap at
31 December 2023","(258,028,870)","(12,858,521)","(32,295,795)","229,218,355","350,612,431","276,647,600"
"Liabilities not recognised
in statement of financial
position (Note 49)","1,762,509","4,679,048","12,471,707","9,336,366","202,220","28,451,850"
