Interest income,"61,530,726","215,397","61,746,123"
Interest expense,"(16,207,517)","(13,666)","(16,221,183)"
Net interest income,"45,323,209","201,731","45,524,940"
Non-funded income,"24,959,726","770,209","25,729,935"
Operating income,"70,282,935","971,940","71,254,875"
Depreciation,"(2,304,307)","(81,615)","(2,385,922)"
Amortization,"(799,319)","(5,904)","(805,223)"
Other operating expenses,"(38,283,057)","(653,502)","(38,936,559)"
Loss on net monetary position,–,"(116,090)","(116,090)"
Operating profit/(loss),"28,896,252","114,829","29,011,081"
Share of profit in associate,"398,245","17,896","416,141"
Profit/(Loss) before tax,"29,294,497","132,725","29,427,222"
Income tax expense,"(7,489,709)","100,654","(7,389,055)"
Profit for the year,"21,804,788","233,379","22,038,167"
Statement of financial position,,,
Segment assets,,,
Non-current assets,"464,912,753","3,635,367","468,548,120"
Current assets,"135,357,327","3,292,272","138,649,599"
,"600,270,080","6,927,639","607,197,719"
Segment liabilities,"494,097,065","5,541,459","499,638,524"
Equity,"106,173,015","1,386,180","107,559,195"
