"21,339,952",–,–,"21,339,952"
"106,148,013",–,–,"106,148,013"
"(104,290,712)",–,–,"(104,290,712)"
–,–,–,–
–,–,–,–
–,–,–,–
"23,197,253",–,–,"23,197,253"
"589,914",–,–,"589,914"
"923,915",–,–,"923,915"
"(872,490)",–,–,"(872,490)"
–,–,–,–
–,–,–,–
–,–,–,–
"650,339",–,–,"650,339"
Bank,,,
"20,761,900",–,–,"20,761,900"
"103,145,121",–,–,"103,145,121"
"(102,277,738)",–,–,"(102,277,738)"
–,–,–,–
–,–,–,–
–,–,–,–
"21,629,283",–,–,"21,629,283"
"589,914",–,–,"589,914"
"921,612",–,–,"921,612"
"(872,490)",–,–,"(872,490)"
–,–,–,–
–,–,–,–
–,–,–,–
"639,036",–,–,"639,036"
