"2,307,300","78,626","9,871,694","1,601,726","85,597","8,876,675","22,821,618"
–,"462,392","378,313","220,345","44,554","328,580","1,434,184"
–,–,"(2,479)","(12,947)",–,"(31,385)","(46,811)"
–,"(302,000)","302,000",–,–,–,–
,–,"(50,571)",–,–,"50,571",–
"2,307,300","239,018","10,498,957","1,809,124","30,151","9,224,441","24,208,991"
–,–,"8,486,736","1,383,028","69,251","7,360,365","17,299,380"
"134,863",–,"356,879","103,357","13,422","613,650","1,222,171"
–,–,"(2,479)","(12,921)",–,"(31,336)","(46,736)"
–,–,–,–,–,"1,738","1,738"
–,–,"(1,054)",–,–,"1,054",–
"134,863",–,"8,840,082","1,473,464","82,673","7,945,471","18,476,553"
"2,172,437","239,018","1,658,875","335,660","47,478","1,278,970","5,732,438"
