"28,015,013",Column,-,-,Column,-,Column,Column,-,Column,Column,"28,015,013",Column,Column
"18,974,973",,"2,754,079",-,,-,,,-,,,"21,729,052",,
"2,004,560",,"11,483,204","13,926,314",,"76,714,218",,,"134,690,411",,,"238,818,707",,
"36,543,292",,"14,559,653","25,228,184",,"153,202,210",,,"269,475,674",,,"499,009,013",,
-,,-,"104,515",,-,,,-,,,"104,515",,
"650,502",,-,-,,"6,350,606",,,-,,,"7,001,108",,
"86,188,340",,"28,796,936","39,259,013",,"236,267,034",,,"404,166,085",,,"794,677,408",,
"5,752,083",,-,-,,-,,,-,,,"5,752,083",,
"328,351,680",,"50,505,097","54,583,802",,"275,892",,,-,,,"433,716,471",,
"2,585,135",,-,-,,"5,355,430",,,"51,813,88",,8,"59,754,4",,53
"115,456",,"233,355","1,066,581",,"1,417,357",,,1,",970,62",3,,"4,803,3",72
-,,-,"1,396,103",,-,,,,,-,,"1,396,1",03
"7,412,856",,-,"9,106",,-,,,,,-,,"7,421,9",62
"344,217,210",,"50,738,452","57,055,592",,"7,048,679",,,53,",784,51",1,51,"2,844,4",44
"(258,028,870)",,"(21,941,516)","(17,796,579)",,"229,218,355",,,350,",612,43",1,28,"1,832,9",64
"1,270,203",,"3,372,090","8,988,093",,"6,7","28,519",,,"145,73",6,2,"0,504,6",40
,,,,,,,,,"uring th
2
2
7
4
2
0",e repo,,"rting ye
1",
,2024,,,2023,,,202,,2,,,,
,%,,,%,,,%,,,,,,
,54.8,,,52.0,,,42.,,2,,,,
,51.9,,,51.3,,,44.,,7,,,,
,54.8,,,52.3,,,47.,,4,,,,
,48.0,,,50.3,,,42.,,2,,,,
,20.0,,,20.0,,,20.,,0,,,,
