Kshs. Billions,H12024,H12023,YoY Change
Total Interest Income,39.8,32.0,24.4%
Total Interest Expenses,15.9,10.4,52.6%
Net Interest Income,23.9,21.5,10.7%
Fees and commissions on loans and advances,6.0,6.2,-3.5%
Other Fees and commissions,6.3,5.6,13.3%
Foreign exchange trading income,2.6,1.8,50.1%
Other income,0.4,0.2,59.3%
Total Operating Income,39.2,35.4,10.9%
Loan loss provision,3.0,2.9,4.9%
Staff costs,9.1,8.0,14.8%
Other operating expenses,9.1,8.3,9.8%
Total Operating expenses,21.3,19.1,11.1%
Profit before tax and exceptional items,18.0,16.2,10.7%
Exceptional items-Share of profit of associate,0.20,0.17,14.1%
Profit Before Tax,18.2,16.4,10.7%
Income tax,5.2,4.3,21.2%
Profit After Tax,13.0,12.1,7.0%
