Kshs. Billions,FY 2025,FY 2024,YoY Change
Total Interest Income,93.14,86.25,8.0%
Total Interest Expenses,30.29,34.73,-12.8%
Net Interest Income,62.85,51.52,22.0%
Fees and commissions on loans and advances,10.48,11.03,-5.1%
Other Fees and commissions,12.90,12.07,6.9%
Foreign exchange trading income,3.66,4.97,-26.5%
Other income,2.00,1.05,90.8%
Total Operating Income,91.89,80.65,13.9%
Loan loss provision,9.46,8.66,9.2%
Staff costs,20.82,18.32,13.6%
Other operating expenses,21.71,19.70,10.2%
Total Operating expenses,51.99,46.69,11.4%
Profit before tax and exceptional items,39.90,33.96,17.5%
Exceptional items-Share of profit of associate,0.39,0.82,-52.3%
Profit Before Tax,40.29,34.78,15.8%
Income tax,10.53,9.32,13.0%
Profit After Tax,29.75,25.46,16.9%
