Kshs. Billions,H1 2025,H1 2024,YoY Change
Total Interest Income,44.8,39.8,12.6%
Total Interest Expenses,15.4,15.9,-3.3%
Net Interest Income,29.4,23.9,23.1%
Fees and commissions on loans and advances,5.6,6.0,-7.0%
Other Fees and commissions,6.33,6.32,0.2%
Foreign exchange trading income,1.5,2.6,-41.6%
Other income,0.6,0.4,77.7%
Total Operating Income,43.5,39.2,10.8%
Loan loss provision,4.5,3.0,50.5%
Staff costs,9.9,9.1,8.2%
Other operating expenses,9.6,9.1,5.5%
Total Operating expenses,24.0,21.3,13.0%
Profit before tax and exceptional items,19.5,18.0,8.3%
Exceptional items-Share of profit of associate,0.21,0.20,7.4%
Profit Before Tax,19.7,18.2,8.3%
Income tax,5.6,5.2,8.0%
Profit After Tax,14.1,13.0,8.4%
