"2022
KShs’000",Column,"2022
KShs’000"
,"(103,373)
357,616
(278,674)
(501)",
"(24,932)",,"9,470"
"275,668",,"271,388"
"(347,469)",,"(355,526)"
"(1,291)",,-
"(98,024)","(24,932)","(74,668)"
,"9,470
(34,402)",
-,,-
"(98,024)",,"(74,668)"
"(98,024)","(24,932)","(74,668)"
,"357,616
35,554",
"275,668",,"271,388"
"(26,813)",,"(26,813)"
"248,855","393,170","244,575"
,"1,124,400",
"1,072,870",,"771,106"
,"337,320
71,565
3,622
(19,337)",
"321,861",,"231,332"
"(65,778)",,"13,243"
"4,285",,-
"(11,513)",,-
"248,855","393,170","244,575"
