"2021
Ksh’000
995,792
(712,292)","2020
Ksh’000
5,468,816
(3,457,099)"
"283,500","2,011,717"
"(610,889)
(201,645)","(1,781,328)
(205,997)"
"(529,034)","24,392"
"459,744
(1,950)
(333,376)","-
-
-"
"124,418",-
"1,638,662
60,083
(555,684)
(392,179)","3,921,836
289,228
(650,940)
-"
"875,300","3,560,124"
"323,674
(261,563)
721,712
(183,072)
(1,074,310)
(1,385,721)","397,236
(381,747)
(2,458,700)
(234,731)
(2,077,884)
(1,202,583)"
"(1,859,280)","(5,958,409)"
"4,338,068
(1,730,313)
(117,505)
(2,160,392)","3,796,050
(1,158,748)
(392,219)
(2,074,153)"
"329,858","170,930"
"666,433
-
17,681
(715,021)
(488,707)
(629,441)
-","13,207,023
39,925
(1,131,950)
(2,751,568)
(1,814,660)
100,305"
"1,149,055","7,649,075"
"(2,332,211)","5,446,112"
"964,295","(817,796)"
"(1,367,916)","4,628,316"
