"2024
Ksh’000
2,947,645
50,472,767
8,114,183
782,875
1,009,312
141,425
3,009,038
4,332,226
15
584,118
8,500
271,180
612,530
30,335
383,938
1,545,628
493,301
1,732
1,431,113","2023
Ksh’000
2,916,041
43,855,237
8,871,837
993,835
739,402
60,644
1,006,497
4,825,113
3,792
1,889,358
227,835
100,927
877,882
19,103
419,152
1,523,639
564,008
636,887
542,873"
"76,171,861","70,074,062"
-,"42,665,245"
"76,171,861","112,739,307"
"332,721
(67,209)
589,753
(505,196)
38,491,054
210,000","332,721
(36,709)
589,753
(442,816)
35,451,996
400,000"
"39,051,123","36,294,945"
"713,260","811,178"
"39,764,383","37,106,123"
"16,590,542
6,380,079
162,735
6,735,765
6,070,312
24,482
443,563","19,677,780
5,720,803
73,966
8,161,179
4,427,839
8,007
249,158"
"36,407,478","38,318,732"
-,"37,314,452"
"76,171,861","112,739,307"
