Column,FY2015/16,FY2014/15,FY2013/14,FY2012/13,FY2011/12
Return,,,,,
Total return (Kshs Million),"7,375","9,003","6,800","2,451","1,133"
Return on opening equity (%),23.1%,39.25%,42.10%,17.90%,9.00%
"Outperformance relative to NSE 20
share index (%)",47%,31%,40%,-26%,22%
Cost efficiency (%),1.70%,2.10%,1.50%,2.30%,1.60%
Financial Position (KES Million),,,,,
Total Assets,"51,543","41,265","28,811","21,407","15,721"
Portfolio Value,"47,058","37,465","29,371","19,307","14,694"
Other assets/liabilities,"2,731","2,043",(943),979,(9)
Debt,"(10,475)","(7,569)","(5,492)","(4,149)","(1,000)"
Net Asset Value (NAV),"39,314","31,939","22,936","16,137","13,685"
Gearing (%),16.70%,12.2%,23.90%,25.70%,7.30%
Third party funds (Kshs Million),"151,754","136,549","117,834","2,393","1,393"
NAV per share (Kshs),59.07,48.03,34.47,24.25,20.57
Share price per share (Kshs),45.00,63.57,36.5,19.9,14.7
Market Capitalization (Kshs Million),"29,945","42,302","24,289","13,242","9,782"
