"1,539,208 2,493,490 954,282
480,603 1,792,567 1,311,964","161,032 135,206 (25,82
12,298 1,027,651 1,015,35"
"2,019,811 4,286,057 2,266,246","173,330 1,162,857 989,52"
"914,456
194,169","78
954,13"
"1,108,625","954,92"
"1,157,621","34,60"
"2,266,246
3,153,148","989,52"
"5,419,394","989,52"
"904,719 2,344,777 1,440,058
652,809 5,844,762 5,191,953
472,001 128,641 (343,360)","174,966 309,933 134,96
613,122 5,805,075 5,191,95
- -"
"2,029,529 8,318,180 6,288,651","788,088 6,115,008 5,326,92"
"- - 638,958
- - 2,219,286
- - -","- - 175,65
- - 2,202,94
- - (36"
"2,858,244
3,430,407","2,378,24
2,948,67"
"6,288,651","5,326,92"
