"Shs 000
Unaudited",Column,"Shs 000
Unaudited"
"949,370",,"818,791"
"126,412",,"115,363"
"822,958","753,749 636,967 699,792
690,178 602,435 661,796","703,428"
"756,385",,"703,428"
"66,573","63,571 34,532 37,996",-
"66,573","63,571 34,532 37,996",-
-,- - -,-
,"1,815,783 1,945,972 1,211,099
437,045 405,678 252,937",
"1,927,575",,"1,708,037"
"455,623",,"360,235"
"2,383,198","2,252,828 2,351,650 1,464,036","2,068,272"
,"8,533,326 9,198,161 7,930,027
7,727,557 10,917,730 16,705,233",
"9,235,320",,"6,674,874"
"15,002,720",,"12,481,753"
"24,238,040","16,260,883 20,115,891 24,635,260","19,156,627"
,,"8,568,328"
,,"700,000"
,,"7,868,328"
,,"1,475,882"
,,"10,044,210"
,,"63,037,781"
,,13.2%
,,8.0%
,,5.2%
,,13.6%
,,8.0%
,,5.6%
,,15.9%
,,12.0%
,,3.9%
,,32.6%
,,20.0%
,,12.6%
