GROUP,Column,BANK,Column
"Dec. 2014
Shs 000
Audited
4,209,824
11,699,981
-
22,725,437
12,375,347
-
-
4,725,484
8,975,966
33,246
137,654,551
-
14,939
-
-
-
5,272,266
-
586,043
173,372
1,244,078
-
1,848,878","Dec. 2013
Shs 000
Audited
3,660,226
9,048,533
-
17,832,375
7,613,449
-
-
3,119,495
5,666,537
176,519
110,945,439
-
9,983
-
-
-
4,879,246
-
560,351
173,372
1,130,919
-
1,703,907","Dec. 2014
Shs 000
Audited
2,506,750
5,251,082
-
22,725,437
-
-
-
4,725,484
2,688,000
-
94,059,260
302,906
1
2,295,253
-
-
3,841,858
-
339,303
-
1,054,439
-
1,386,021","Dec. 2013
Shs 000
Audited
2,291,210
5,381,057
-
17,832,375
-
-
-
3,119,495
1,000,618
137,257
75,292,211
384,072
1
2,295,253
-
-
3,683,783
-
377,522
-
983,626
-
1,357,949"
"211,539,412","166,520,351","141,175,794","1 14,136,429"
"-
160,955,609
1,662,351
730,220
-
12,287,227
-
130,404
-
-
-
3,510,043","-
128,788,398
1,847,806
2,870,506
-
5,760,214
-
12,143
-
-
-
3,496,980","-
101,593,506
1,662,351
513,868
-
9,310,392
-
91,051
-
-
-
2,220,212","-
84,671,817
1,847,806
1,886,906
-
4,861,910
-
-
-
-
-
2,299,713"
"179,275,854","142,776,047","115,391,380","95,568,152"
"968,440
7,294,767
132,924
19,986,040
-
581,064
-","880,400
3,856,898
273,758
15,477,589
-
462,210
-","968,440
7,294,767
367,703
16,572,440
-
581,064
-","880,400
3,856,898
373,194
12,995,575
-
462,210
-"
"28,963,235","20,950,855","25,784,414","18,568,277"
"3,300,323","2,793,449",-,-
"32,263,558","23,744,304","25,784,414","18,568,277"
"211,539,412","166,520,351","141,175,794","1 14,136,429"
