2014,2013,2014,2013
Shs’000,Shs’000,Shs’000,Shs’000
"17,290,845","14,154,675","11,968,878","9,975,556"
"3,213,953","2,374,025","2,199,023","2,053,099"
"303,218","650,361","107,887","95,781"
"20,808,016","17,179,061","14,275,788","12,124,436"
"7,542,290","5,771,402","5,089,101","3,966,134"
"226,808","258,368","166,874","165,569"
"7,769,098","6,029,770","5,255,975","4,131,703"
"2,374,387","2,092,832","1,257,899","1,153,676"
"(56,298)","(59,764)","(43,728)","(42,290)"
"2,318,089","2,033,068","1,214,171","1,111,386"
"37,446","23,107","37,006","22,652"
"56,210","42,127",-,-
-,"5,421",-,"5,421"
"(7,212)","3,318","(7,699)","4,142"
"10,586","19,673","37,623","45,516"
"97,030","93,646","66,930","77,731"
"2,941,895","2,715,817","1,655,516","1,611,733"
"705,726","476,783","429,844","256,183"
"205,264","137,888","147,611","111,915"
"452,507","438,030","227,393","255,361"
"15,681","14,829","6,346","6,044"
"2,563,903","2,425,323","1,525,633","1,504,039"
"62,096","55,255","60,726","54,025"
425,"1,710",-,-
"88,140","69,450","2,227","2,135"
"227,331","164,079","66,930","51,534"
"2,941,895","2,715,817","1,655,516","1,611,733"
