Up to 1,1-3,3-12,1-5,Over 5,Column
month,months,months,years,years,Total
Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
"35,721,702","20,844,191","52,535,767","53,004,655","23,229,093","185,335,408"
"77,036,966","31,162,805","32,622,431","5,646,434","1,541,099","148,009,735"
"(41,315,264)","(10,318,614)","19,913,336","47,358,221","21,687,994","37,325,673"
"5,707,092","1,238,950","762,184","49,098",508,"7,757,832"
"4,035,375","2,650,307","16,496,966","1,532,043",-,"24,714,691"
"7,797,964",-,-,-,-,"7,797,964"
"9,325,247","11,969,667","31,657,853","43,407,099","18,241,238","114,601,104"
-,-,-,-,"2,295,254","2,295,254"
-,-,"103,068","267,737",-,"370,805"
"1,108,089",-,-,-,-,"1,108,089"
"27,973,767","15,858,924","49,020,071","45,255,977","20,537,000","158,645,739"
"60,189,194","25,429,832","16,053,130","1,144,311","10,336","102,826,803"
"2,176,219",-,-,-,-,"2,176,219"
-,"1,657,673","944,164","7,572,386","1,588,855","11,763,078"
"921,943","985,845",-,-,-,"1,907,788"
"63,287,356","28,073,350","16,997,294","8,716,697","1,599,191","118,673,888"
"(35,313,589)","(12,214,426)","32,022,777","36,539,280","18,937,809","39,971,851"
"21,696,750","14,068,108","33,791,978","34,991,459","20,931,563","125,479,858"
"48,405,976","25,406,414","18,274,940","4,017,449","1,101,563","97,206,342"
"(26,709,226)","(11,338,306)","15,517,038","30,974,010","19,830,000","28,273,516"
